Key,File,Type,UsedInMainMenu,NoTranslate,russian
journalTutorialQuestSkipped_title,,,,,"UL / Введение"
journalTutorialQuestSkipped,,,,,"Добро пожаловать в [decea3]Undead Legacy[-]!\n\nУ вас есть [decea3]тревожная cумка[-] на вашем ремне с инструментами, содержащая полезные стартовые предметы, поместите её на землю и взаимодействуйте с ней, чтобы посмотреть её содержимое.\n\n[decea3]Важно![-]\nПроверяйте свой [decea3]Журнал[-] на наличие записей, начинающихся с [decea3]UL[-], они помогут вам разобраться с некоторыми сложными механиками, представленными в [decea3]Undead Legacy[-]."
animalBossGrace,,,,,"Мутировавший гигантский кабан"
animalCoyote,,,,,"Койот"
animalDireWolf,,,,,"Лютоволк"
animalMountainLion,,,,,"Пума"
animalSnake,,,,,"Змея"
animalWolf,,,,,"Волк"
animalZombieBear,,,,,"Заражённый медведь"
animalZombieVultureRadiated,,,,,"Радиоактивный зомби-стервятник"
zombieArlene,,,,,"Гниющая девушка"
zombieArleneFeral,,,,,"Дикая гниющая девушка"
zombieArleneRadiated,,,,,"Радиоактивная гниющая девушка"
zombieBiker,,,,,"Зомби-байкер"
zombieBikerFeral,,,,,"Дикий зомби-байкер"
zombieBikerRadiated,,,,,"Радиоактивный зомби-байкер"
zombieBoe,,,,,"Заражённый зомби"
zombieBoeFeral,,,,,"Дикий зомби"
zombieBoeRadiated,,,,,"Радиоактивный зомби"
zombieBurnt,,,,,"Сгоревший зомби"
zombieBurntFeral,,,,,"Дикий сгоревший зомби"
zombieBurntRadiated,,,,,"Радиоактивный сгоревший зомби"
zombieBusinessMan,,,,,"Зомби-бизнесмен"
zombieBusinessManFeral,,,,,"Дикий зомби-бизнесмен"
zombieBusinessManRadiated,,,,,"Радиоактивный бизнесмен"
zombieDarlene,,,,,"Заражённая мать"
zombieDarleneFeral,,,,,"Дикая мать"
zombieDarleneRadiated,,,,,"Радиоактивная мать"
zombieDemolition,,,,,"Подрывник"
zombieFatCop,,,,,"Инфицированный коп"
zombieFatCopFeral,,,,,"Дикий коп"
zombieFatCopRadiated,,,,,"Радиоактивный коп"
zombieFatHawaiian,,,,,"Беспокойный турист"
zombieFatHawaiianFeral,,,,,"Дикий турист"
zombieFatHawaiianRadiated,,,,,"Радиоактивный турист"
zombieFemaleFat,,,,,"Зомби мамаша"
zombieFemaleFatFeral,,,,,"Дикая мамаша"
zombieFemaleFatRadiated,,,,,"Радиоактивная мамаша"
zombieJanitor,,,,,"Зомби-уборщик"
zombieJanitorFeral,,,,,"Дикий зомби-уборщик"
zombieJanitorRadiated,,,,,"Радиоактивный зомби-уборщик"
zombieJoe,,,,,"Оживший труп"
zombieJoeFeral,,,,,"Дикий труп"
zombieJoeRadiated,,,,,"Радиоактивный труп"
zombieLab,,,,,"Заражённая лаборантка"
zombieLabFeral,,,,,"Дикая лаборантка"
zombieLabRadiated,,,,,"Радиоактивная лаборантка"
zombieMaleHazmat,,,,,"Ликвидатор"
zombieMaleHazmatFeral,,,,,"Дикий ликвидатор"
zombieMaleHazmatRadiated,,,,,"Радиоактивный ликвидатор"
zombieMarlene,,,,,"Покойница"
zombieMarleneFeral,,,,,"Дикая покойница"
zombieMarleneRadiated,,,,,"Радиоактивная покойница"
zombieMoe,,,,,"Зомби толстяк"
zombieMoeFeral,,,,,"Дикий толстяк"
zombieMoeRadiated,,,,,"Радиоактивный толстяк"
zombieNurse,"Беспокойная медсестра"
zombieNurseFeral,"Дикая медсестра"
zombieNurseRadiated,"Радиоактивная медсестра"
zombieScreamer,,,,,"Зомби-крикунья"
zombieScreamerFeral,,,,,"Дикая зомби-крикунья"
zombieScreamerRadiated,,,,,"Радиоактивная зомби-крикунья"
zombieSkateboarder,,,,,"Зомби-скейтер"
zombieSkateboarderFeral,,,,,"Дикий зомби-скейтер"
zombieSkateboarderRadiated,,,,,"Радиоактивный зомби-скейтер"
zombieLumberjack,,,,,"Заражённый дровосек"
zombieLumberjackFeral,,,,,"Дикий дровосек"
zombieLumberjackRadiated,,,,,"Радиоактивный дровосек"
zombieSoldier,,,,,"Заражённый солдат"
zombieSoldierFeral,,,,,"Дикий солдат"
zombieSoldierRadiated,,,,,"Радиоактивный солдат"
zombieSpider,,,,,"Зомби-паук"
zombieSpiderFeral,,,,,"Дикий зомби-паук"
zombieSpiderRadiated,,,,,"Радиоактивный зомби-паук"
zombieSteve,,,,,"Оживший труп"
zombieSteveFeral,,,,,"Дикий оживший труп"
zombieSteveRadiated,,,,,"Радиоактивный оживший труп"
zombieTomClark,"Беспокойный ходок"
zombieTomClarkFeral,"Дикий ходок"
zombieTomClarkRadiated,"Радиоактивный ходок"
zombieWightFeral,,,,,"Дикий человек"
zombieWightRadiated,,,,,"Радиоактивный человек"
zombieUtilityWorker,,,,,"Зомби уборщик"
zombieUtilityWorkerFeral,,,,,"Дикий уборщик"
zombieUtilityWorkerRadiated,,,,,"Радиоактивный уборщик"
zombieYo,,,,,"Ходячий трупак"
zombieYoFeral,,,,,"Дикий трупак"
zombieYoRadiated,,,,,"Радиоактивный трупак"
adhesive,,,,,"Клей"
branch,,,,,"Ветка"
brass,,,,,"Латунь"
clay,,,,,"Глина"
cloth,,,,,"Ткань"
coal,,,,,"Уголь"
copper,,,,,"Медь"
cotton,,,,,"Хлопок"
electronics,,,,,"Электроника"
feather,,,,,"Перья"
fiber,,,,,"Растительные волокна"
glass,,,,,"Стекло"
gold,,,,,"Золото"
iron,,,,,"Железо"
knowledge,,,,,"Примечания к навыкам"
lead,,,,,"Свинец"
leather,,,,,"Кожа"
misc,,,,,"Разное"
meleeToolChainsawParts,,,,,"Запчасти для моторизованных инструментов"
organic,,,,,"Органика"
paper,,,,,"Бумага"
plastic,,,,,"Пластик"
plants,,,,,"Растение"
potassium,,,,,"Селитра"
research,,,,,"Исследование"
rubber,,,,,"Резина"
sand,,,,,"Песок"
silver,,,,,"Серебро"
steel,,,,,"Сталь"
stick,,,,,"Палка"
stone,,,,,"Камень"
sulfur,,,,,"Сера"
titanium,,,,,"Титан"
wood,,,,,"Дерево"
unit_brass,,,,,"Латунь"
unit_clay,,,,,"Глина"
unit_coal,,,,,"Уголь"
unit_copper,,,,,"Медь"
unit_glass,,,,,"Песок"
unit_gold,,,,,"Золото"
unit_iron,,,,,"Железо"
unit_lead,,,,,"Свинец"
unit_silver,,,,,"Серебро"
unit_stone,,,,,"Камень"
unit_titanium,,,,,"Титан"
ammo9mmBulletBall,,,,,"Патрон 9-мм"
ammo9mmBulletBallDesc,,,,,"9-мм [decea3]стандартный[-] патрон, обычно используемые в [decea3]малых пистолетах[-]."
ammo9mmBulletHP,,,,,"Экспансивный патрон 9-мм"
ammo9mmBulletHPDesc,,,,,"9-мм [decea3]экспансиный[-] патрон, альтернативный боеприпас для [decea3]малых пистолетов[-], который имеет лучшую пробиваемость и точность. Запрещен в большинстве областей."
ammo9mmBulletAP,,,,,"Бронебойный патрон 9-мм"
ammo9mmBulletAPDesc,,,,,"9-мм [decea3]бронебойный[-] патрон, альтернативный боеприпас для [decea3]малых пистолетов[-] с гораздо большей пробивающей способностью по сравнению со стандартными патронами."
ammo44MagnumBulletBall,,,,,"Патрон .44 магнум"
ammo44MagnumBulletBallDesc,,,,,"[decea3]Стандартный[-] патрон .44 калибра, обычно используемый [decea3]большими пистолетами[-]."
ammo44MagnumBulletHP,,,,,"Экспансивный патрон .44 магнум"
ammo44MagnumBulletHPDesc,,,,,"[decea3]Экспансиный[-] патрон .44 калибра, альтернативный боеприпас для [decea3]больших пистолетов[-], у которого лучшая пробиваемость и точность. Запрещен в большинстве областей."
ammo44MagnumBulletAP,,,,,"Бронебойный патрон .44 магнум"
ammo44MagnumBulletAPDesc,,,,,"[decea3]Бронебойный[-] патрон .44 калибра, альтернативный боеприпас для [decea3]больших пистолетов[-] с гораздо более высокой пробивной силой по сравнению со стандартными патронами."
ammo762mmBulletBall,,,,,"Патрон 7.62-мм"
ammo762mmBulletBallDesc,,,,,"7.62-мм [decea3]стандартный[-] патрон, обычно используемый в [decea3]штурмовых винтовках[-]."
ammo762mmBulletHP,,,,,"Экспансивный патрон 7.62-мм"
ammo762mmBulletHPDesc,,,,,"7.62-мм [decea3]экспансиный[-] патрон, альтернативный боеприпас для [decea3]штурмовых винтовок[-], который имеет лучшее пробивание и точность. Запрещен в большинстве областей."
ammo762mmBulletAP,,,,,"Бронебойный патрон 7.62-мм"
ammo762mmBulletAPDesc,,,,,"7.62-мм [decea3]бронебойный[-] патрон, альтернативный боеприпас для [decea3]штурмовых винтовок[-] с гораздо большей пробивающей способностью по сравнению со стандартными патронами."
ammoBlunderbuss,,,,,"Патроны мушкета"
ammoBlunderbussDesc,,,,,"Патроны для мушкета изготавливаются из бумаги, пороха и маленьких камней."
ammoArrowExploding,,,,,"Разрывная стрела"
ammoArrowFlaming,,,,,"Зажигательная стрела"
ammoArrowIron,,,,,"Железная стрела"
ammoArrowSteelAP,,,,,"Стальная стрела"
ammoArrowStone,,,,,"Каменная стрела"
ammoCrossbowBoltFlaming,,,,,"Зажигательный болт"
ammoCrossbowBoltExploding,,,,,"Разрывной болт"
ammoCrossbowBoltExplodingDesc,,,,,"Грубое решение, обладающее серьезным ударом. Совместим с большинством стандартных арбалетов"
ammoCrossbowBoltIron,,,,,"Железный болт"
ammoCrossbowBoltIronDesc,,,,,Болт с железным наконечником для арбалета.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
ammoCrossbowBoltSteelAP,,,,,"Стальной болт"
ammoCrossbowBoltSteelAPDesc,,,,,"Болты со стальным наконечником наносят самый высокий урон и летят прямее.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
ammoCrossbowBoltStone,,,,,"Каменный болт"
ammoCrossbowBoltStoneDesc,,,,,"Арбалетный болт с каменным наконечником.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
ammoGasCanSchematic,,,,,"Канистра с бензином"
ammoGasCanSchematicDesc,,,,,"Инструкция как сделать [decea3]топливо[-]."
ammoRocketHE,,,,,"Фугасная ракета"
ammoRocketHEDesc,,,,,"Фугасная ракета, используемая в качестве боеприпасов для ракетницы."
ammoRocketFrag,,,,,"Осколочная ракета"
ammoRocketFragDesc,,,,,"Осколочная ракета, используемая в качестве боеприпасов для ракетницы."
ammoShotgunShell,,,,,"Дробовой патрон"
ammoShotgunShellDesc,,,,,"12x50-мм дробовой патрон, используемый во всех дробовиках.\nНаносит большой урон дереву и гипсокартону.\nНаносимый урон сильно снижается за пределами эффективной дальности."
ammoShotgunSlug,,,,,"Пулевой патрон"
ammoShotgunSlugDesc,,,,,"Бронебойные дробовые патроны, которые стреляют одним снарядом.\nНаносимый урон сильно снижается за пределами эффективной дальности.\nУдерживайте кнопку перезарядки для смены типа боеприпасов."
armorClothGroupDesc,,,,,"Не влияет на мобильность, небольшая защита от повреждений, не защищает от непогоды."
armorLeatherGroupDesc,,,,,"Умеренное влияние на мобильность, небольшая защита от повреждений, не защищает от непогоды."
armorMilitaryGroupDesc,,,,,"Умеренное влияние на мобильность, небольшая защита от повреждений, не защищает от непогоды."
armorMiningHelmetDesc,,,,,"Обеспечивает хорошую защиту, и рекомендуется носить при работе в шахтах или на стройке."
armorHeavyGroupDesc,,,,,"Сильное влияние на мобильность, хорошая защита от повреждений, не защищает от непогоды."
armorSteelGroupDesc,,,,,"Сильное влияние на мобильность, хорошая защита от повреждений, не защищает от непогоды."
autoTurretSchematic,,,,,"Автотурель с ПП"
batterybankSchematic,,,,,"Аккумуляторный блок"
bladeTrapSchematic,,,,,"Мясорубка"
bucketEmpty,,,,,"Пустое ведро"
bucketEmptyDesc,,,,,"Можно использовать для переноса жидкостей.\n[decea3]Вы не можете добывать воду из рек, озёр и бассейнов; эта вода слишком токсична для использования.[-]"
carBattery,,,,,"Свинцовая аккумуляторная батарея"
cementMixerSchematic,,,,,"Бетономешалка"
chemistryStationSchematic,,,,,"Химическая станция"
dartTrapSchematic,,,,,"Дротикомёт"
drinkJarBeerSchematic,,,,,"Пиво"
drinkJarCoffeeSchematic,,,,,"Кофе"
drinkJarEmpty,,,,,"Пустая банка"
drinkJarEmptyDesc,,,,,"Можно использовать для переноса жидкостей.\n[decea3]Вы не можете добывать воду из рек, озёр и бассейнов; эта вода слишком токсична для использования.[-]"
drinkJarGoldenRodTeaSchematic,,,,,"Чай из золотарника"
drinkJarGrandpasAwesomeSauceSchematic,,,,,"Дедушкин супер-соус"
drinkJarGrandpasLearningElixirSchematic,,,,,"Дедушкин эликсир знаний"
drinkJarGrandpasMoonshineSchematic,,,,,"Дедушкин самогон"
drinkJarPureMineralWater,,,,,"Минеральная вода"
drinkJarRedTeaSchematic,,,,,"Красный чай"
drinkYuccaJuiceSmoothieSchematic,,,,,"Смузи из юкки"
drugAntibioticsSchematic,,,,,"Антибиотики"
drugHerbalAntibioticsSchematic,,,,,"Травяные антибиотики"
drugJailBreakers,,,,,"Взломщик"
drugJailBreakersDesc,,,,,"Временно улучшает навык взлома замков и прочность отмычек на [decea3]200%[-]."
electricfencepostSchematic,,,,,"Столб электроизгороди"
electrictimerrelaySchematic,,,,,"Электрическое реле с таймером"
foodBakedPotatoSchematic,,,,,"Печёный картофель"
foodBaconAndEggsSchematic,,,,,"Бекон с яйцами"
foodBlueberryPieSchematic,,,,,"Черничный пирог"
foodBoiledMeatSchematic,,,,,"Варёное мясо"
foodCanShamSchematic,,,,,"Банка Шамуэй"
foodChiliDogSchematic,,,,,"Чили-дог"
foodCornBreadSchematic,,,,,"Кукурузный хлеб"
foodFishTacosSchematic,,,,,"Рыбное тако"
foodGrilledMeatSchematic,,,,,"Жареное мясо"
foodGumboStewSchematic,,,,,"Рагу гамбо"
foodHoboStewSchematic,,,,,"Рагу бродяги"
foodMeatStewSchematic,,,,,"Тушёное мясо"
foodPumpkinBreadSchematic,,,,,"Тыквенный хлеб"
foodPumpkinCheesecakeSchematic,,,,,"Тыквенный сырник"
foodPumpkinPieSchematic,,,,,"Тыквенный пирог"
foodShepardsPieSchematic,,,,,"Пастуший пирог"
foodSpaghettiSchematic,,,,,"Макароны"
foodSteakAndPotatoSchematic,,,,,"Стейк с картофелем"
foodVegetableStewSchematic,,,,,"Овощное рагу"
forgeSchematic,,,,,"Плавильная печь"
foodTunaFishGravyToastSchematic,,,,,"Тост с паштетом из тунца"
generatorbankSchematic,,,,,"Основы электроснабжения"
gunPistol,,,,,"Пистолет"
gunPistolDesc,,,,,"Базовый пистолет, разработанный Kiloton Ballistics для стандартного гражданского использования. Для работы требуется магазин."
gunBotT1JunkSledge,,,,,"Робомолот"
gunBotT1JunkSledgeDesc,,,,,"Ваши удары может и не очень сильны, но у вас есть технологии. Можно разместить на земле, используя клавишу вторичного действия."
gunBotT1JunkSledgeSchematic,,,,,"Робомолот"
gunBotT2JunkTurret,,,,,"Роботурель"
gunBotT2JunkTurretDesc,,,,,"Из этой штуковины можно стрелять и перезаряжать, как оружие. Использует патроны роботурели в качестве боеприпасов. Можно разместить на земле, используя клавишу вторичного действия."
gunBotT2JunkTurretSchematic,,,,,"Роботурель"
gunBotT3JunkDrone,,,,,"Дрон"
gunBotT3JunkDroneDesc,,,,,"Запрограммирован быть верным спутником во время апокалипсиса. Он может помочь вам перенести некоторые предметы или исцелить вас."
gunBotT3JunkDroneSchematic,,,,,"Дрон"
gunBowT0PrimitiveBow,,,,,"Простой лук"
gunBowT0PrimitiveBowDesc,,,,,"Не наносит большого урона, но является хорошим стартовым оружием дальнего боя."
gunBowT1WoodenBow,,,,,"Деревянный лук"
gunBowT1WoodenBowDesc,,,,,"Подходит для охоты и убийства"
gunBowT1WoodenBowSchematic,,,,,"Деревянный лук"
gunBowT3CompoundBow,,,,,"Блочный лук"
gunBowT3CompoundBowDesc,,,,,"Наносит больше урона и точнее, чем обычные луки"
gunBowT3CompoundBowSchematic,,,,,"Блочный лук"
gunBowT1IronCrossbow,,,,,"Железный арбалет"
gunBowT1IronCrossbowDesc,,,,,"Медленно перезаряжается, но наносит больший урон по сравнению с луками, и из него можно стрелять под водой."
gunBowT1IronCrossbowSchematic,,,,,"Железный арбалет"
gunBowT3CompoundCrossbowSchematic,,,,,"Блочный арбалет"
gunExplosivesT3RocketLauncher,,,,,"Ракетница"
gunExplosivesT3RocketLauncherDesc,,,,,"Может вызвать ад и хаос"
gunExplosivesT3RocketLauncherSchematic,,,,,"Ракетница"
gunHandgunT0PipePistol,,,,,"Ржавый револьвер"
gunHandgunT0PipePistolDesc,,,,,"Удивительно, но всё ещё работает."
gunHandgunT0PipePistolBlueprint,,,,,"Ржавый револьвер"
gunHandgunT1Pistol,,,,,"Бенгал M9"
gunHandgunT1PistolDesc,,,,,"Обычный пистолет, использующий 9-мм патроны."
gunHandgunT1PistolSchematic,,,,,"Бенгал M9"
gunHandgunT2Magnum44,,,,,"Магнум .44"
gunHandgunT2Magnum44Desc,,,,,"Магнум — король среди пистолетов. Он самый мощный и самый шумный. Обуздайте этого плохиша, и Клинт будет гордиться вами."
gunHandgunT2Magnum44Schematic,,,,,"Магнум .44"
gunHandgunT3DesertVulture,,,,,"Пустынный стервятник"
gunHandgunT3DesertVultureDesc,,,,,"Этот тяжёлый пистолет использует боеприпасы калибра .44 магнум"
gunHandgunT3DesertVultureSchematic,,,,,"Пустынный стервятник"
gunHandgunT3SMG5,,,,,"ПП-5"
gunHandgunT3SMG5Desc,,,,,"Пистолет-пулемёт, использующий боеприпасы калибра 9-мм."
gunHandgunT3SMG5Schematic,,,,,"ПП-5"
gunMGT0PipeMachineGun,,,,,"Трубный пулемёт"
gunMGT0PipeMachineGunDesc,,,,,"Сделанный из металлолома и труб, он удивительным образом не взрывается."
gunMGT0PipeMachineGunBlueprint,,,,,"Трубный пулемёт"
gunMGT1AK47,,,,,"Автомат АК-47"
gunMGT1AK47Desc,,,,,"Крутой автомат АК-47, использующая боеприпасы калибра 7.62-мм."
gunMGT1AK47Schematic,,,,,"Автомат АК-47"
gunMGT2TacticalAR,,,,,"Тактическая штурмовая винтовка"
gunMGT2TacticalARDesc,,,,,"Штурмовая винтовка военного образца"
gunMGT2TacticalARSchematic,,,,,"Тактическая штурмовая винтовка"
gunMGT3M60,,,,,"Пулемёт M60"
gunMGT3M60Desc,,,,,"Пулемёты немного неудобны в использовании, но ничто не сравнится с ними в автоматической стрельбе. Использует боеприпасы калибра 7.62-мм."
gunMGT3M60Schematic,,,,,"Пулемёт M60"
gunRifleT0PipeRifle,,,,,"Трубная винтовка"
gunRifleT0PipeRifleDesc,,,,,"Очень примитивное огнестрельное оружие."
gunRifleT0PipeRifleBlueprint,,,,,"Трубная винтовка"
gunRifleT1HuntingRifle,,,,,"Охотничье ружьё"
gunRifleT1HuntingRifleDesc,,,,,"Некоторые фермеры предпочитают оружие дальнего боя из-за сочетания простоты и огневой мощи."
gunRifleT1HuntingRifleSchematic,,,,,"Охотничье ружьё"
gunRifleT2LeverActionRifle,,,,,"Винтовка рычажного действия"
gunRifleT2LeverActionRifleDesc,,,,,"Нужно сделать так, чтобы эти выстрелы были засчитаны."
gunRifleT2LeverActionRifleSchematic,,,,,"Винтовка рычажного действия"
gunRifleT2MarksmanRifle,,,,,"Пехотная снайперская винтовка"
gunRifleT2MarksmanRifleDesc,,,,,"Винтовка среднего уровня с хорошей огневой мощью. Отличный выбор, если вы хотите вести счёт головам."
gunRifleT3SniperRifle,,,,,"Снайперская винтовка"
gunRifleT3SniperRifleDesc,,,,,"Эта высокоточная, дальнобойная винтовка идеально подходит для снайперской стрельбы по врагам на больших расстояниях."
gunRifleT3SniperRifleSchematic,,,,,"Снайперская винтовка"
gunShotgunT0PipeShotgun,,,,,"Трубный дробовик"
gunShotgunT0PipeShotgunDesc,,,,,"Примитивное огнестрельное оружие малой дальности, эффективное на очень близких расстояниях."
gunShotgunT0PipeShotgunBlueprint,,,,,"Трубный дробовик"
gunShotgunT1DoubleBarrel,,,,,"Обрез двустволки"
gunShotgunT1DoubleBarrelDesc,,,,,"Старый ржавый обрез двустволки, отлично подходит для боя на короткой дистанции."
gunShotgunT1DoubleBarrelSchematic,,,,,"Обрез двустволки"
gunShotgunT2PumpShotgun,,,,,"Помповый дробовик"
gunShotgunT2PumpShotgunDesc,,,,,"Длинноствольный дробовик с помповым механизмом заряжания."
gunShotgunT2PumpShotgunSchematic,,,,,"Помповый дробовик"
gunShotgunT3AutoShotgun,,,,,"Автоматический дробовик"
gunShotgunT3AutoShotgunDesc,,,,,"Этот полуавтоматический дробовик — редкое и разрушительное оружие на короткой дистанции, способное превратить в фарш всё, что попадется на его пути."
gunShotgunT3AutoShotgunSchematic,,,,,"Автоматический дробовик"
leatherPoncho,,,,,"Пончо"
leatherPonchoDesc,,,,,"Это пончо обеспечивает небольшую защиту и помогает пережить жаркую погоду."
lightPlayerNoPowerGroupDesc,,,,,"Не требует внешнего источника питания"
medicalBloodDrawKit,,,,,"Набор для забора крови"
medicalBloodDrawKitDesc,,,,,"Используйте наборы для забора крови, чтобы сделать пакеты с кровью. Они используются для изготовления аптечек."
medicalFirstAidBandageSchematic,,,,,"Лечебный бинт"
medicalFirstAidKitSchematic,,,,,"Аптечка"
medicalPlasterCastSchematic,,,,,"Гипсовая повязка"
meleeClubIron,,,,,"Железная дубинка"
meleeClubIronDesc,,,,,"Более прочная, чем деревянная дубинка, и наносит больший урон. Хорошо подходит для перелома коленей и черепа."
meleeToolAxeT1IronFireaxe,,,,,"Железный пожарный топор"
meleeToolAxeT1IronFireaxeDesc,,,,,"Пожарный топор хорошо подходит для добычи древесины."
meleeToolAxeT2SteelAxe,,,,,"Стальной пожарный топор"
meleeToolAxeT2SteelAxeDesc,,,,,"Стальной пожарный топор имеет износостойкое лезвие и отлично подходит для добычи древесины."
meleeToolAxeT3Chainsaw,,,,,"Бензопила"
meleeToolAxeT3ChainsawDesc,,,,,"Валите огромные деревья и зомби быстрее, чем сам Пауль Буньян, с этой великолепной бензопилой, использующей бензин в качестве топлива. На [decea3]400%[-] больше урона по деревьям."
meleeToolAxeT3ChainsawSchematic,,,,,"Бензопила"
meleeToolFlashlight02,,,,,"Фонарик"
meleeToolFlashlight02Desc,,,,,"Фонарик может использоваться в качестве источника света, переключаясь на клавишу активации фонаря."
meleeToolHuntingKnife,,,,,"Охотничий нож"
meleeToolHuntingKnifeDesc,,,,,"Полезный инструмент для получения [decea3]смолы[-] из деревьев и [decea3]фрукта юкки[-] из кактусов. Также полезен для потрошения животных."
meleeToolIronSetSchematic,,,,,"Железные инструменты"
meleeToolMachete,,,,,"Железное мачете"
meleeToolMacheteDesc,,,,,"Отличный инструмент для получения [decea3]смолы[-] из деревьев и [decea3]фрукта юкки[-] из кактусов. Также полезно для потрошения животных или отрубания конечностей зомби."
meleeToolPickT1IronPickaxe,,,,,"Железная кирка"
meleeToolPickT1IronPickaxeDesc,,,,,"Подходит для дробления камня и добычи полезных ископаемых."
meleeToolPickT2SteelPickaxe,,,,,"Стальная кирка"
meleeToolPickT2SteelPickaxeDesc,,,,,"Отлично подходит для дробления камня и добычи полезных ископаемых."
meleeToolPickT3Auger,,,,,"Бур"
meleeToolPickT3AugerDesc,,,,,"Оторвитесь со своим буром и будьте самым крутым шахтёром среди шахтёров, когда они будут видеть вас в спортивной форме с сексуальным моторизованным буром"
meleeToolPickT3AugerSchematic,,,,,"Бур"
meleeToolRepairT1ClawHammer,,,,,"Молоток-гвоздодёр"
meleeToolRepairT1ClawHammerDesc,,,,,"Молоток-гвоздодёр является хорошим инструментом для починки и улучшения стен базы, а также неплохим оружием."
meleeToolRepairT3Nailgun,,,,,"Гвоздомёт"
meleeToolRepairT3NailgunDesc,,,,,"Гвоздомёт является превосходным инструментом для починки и улучшения стен базы и неплохим оружием для приколачивания, если у вас есть гвозди."
meleeToolRepairT3NailgunSchematic,,,,,"Гвоздомёт"
meleeToolRepairT0StoneAxe,,,,,"Каменный топор"
meleeToolRepairT0StoneAxeDesc,,,,,"Примитивный инструмент, подходящий для рубки дерева. Не самое лучшее оружие."
meleeToolRepairT0TazasStoneAxe,,,,,"Каменный топор Таза"
meleeToolRepairT0TazasStoneAxeDesc,,,,,"Каменный топор Таза — редкий могущественный древний индейский артефакт. Апачи верили, что тот, кто носит его, непобедим в бою."
meleeToolSalvageT1Wrench,,,,,"Разводной ключ"
meleeToolSalvageT1WrenchDesc,,,,,"Хорошо подходит для разбора механических конструкций, таких как машины, кондиционеры и многое другое. С его помощью можно ремонтировать автомобили."
meleeToolSalvageT1WrenchSchematic,,,,,"Разводной ключ"
meleeToolSalvageT2Ratchet,,,,,"Ключ-трещотка"
meleeToolSalvageT2RatchetDesc,,,,,"Хорошо подходит для разбора механических конструкций, таких как машины, кондиционеры и многое другое. С его помощью можно ремонтировать автомобили."
meleeToolSalvageT2RatchetSchematic,,,,,"Ключ-трещотка"
meleeToolSalvageT3ImpactDriver,,,,,"Гайковёрт"
meleeToolSalvageT3ImpactDriverDesc,,,,,"Хорошо подходит для разбора механических конструкций, таких как машины, кондиционеры и многое другое. С его помощью можно ремонтировать автомобили."
meleeToolSalvageT3ImpactDriverSchematic,,,,,"Гайковёрт"
meleeToolShovelIron,,,,,"Железная лопата"
meleeToolShovelIronDesc,,,,,"Железная лопата хорошо подходит для копки земли, песка или снега."
meleeToolShovelSteel,,,,,"Стальная лопата"
meleeToolShovelSteelDesc,,,,,"Стальная лопата отлично подходит для копки земли, песка или снега."
meleeToolShovelT0StoneShovel,,,,,"Каменная лопата"
meleeToolShovelT0StoneShovelDesc,,,,,"Примитивный инструмент, подходит для копки земли, песка или снега, если нет более лучшего инструмента."
meleeToolShovelT1IronShovel,,,,,"Железная лопата"
meleeToolShovelT1IronShovelDesc,,,,,"Железная лопата хорошо подходит для копки земли, песка или снега."
meleeToolShovelT2SteelShovel,,,,,"Стальная лопата"
meleeToolShovelT2SteelShovelDesc,,,,,"Стальная лопата отлично подходит для копки земли, песка или снега."
meleeToolSteelSetSchematic,,,,,"Стальные инструменты"
meleeToolTorch,,,,,"Факел"
meleeToolTorchDesc,,,,,"Может использоваться как источник света. Есть шанс поджечь врагов."
meleeWpnBatonT2StunBaton,,,,,"Электродубинка"
meleeWpnBatonT2StunBatonDesc,,,,,"Сочетание примитивной грубой силы и технологий."
meleeWpnBatonT2StunBatonSchematic,,,,,"Электродубинка"
meleeWpnBladeT0BoneKnife,,,,,"Костяной нож"
meleeWpnBladeT0BoneKnifeDesc,,,,,"Примитивное самодельное оружие, также хорошо подходящее для разделки животных. Обычные атаки могут вызвать 1 кровоточащую рану, а мощные — минимум 2."
meleeWpnBladeT1HuntingKnife,,,,,"Охотничий нож"
meleeWpnBladeT1HuntingKnifeDesc,,,,,"Хорошо подойдёт для расправы с зомби или разделки животных на мясо. Обычные атаки могут вызвать 1 кровоточащую рану, а мощные — минимум 2."
meleeWpnBladeT1HuntingKnifeSchematic,,,,,"Охотничий нож"
meleeWpnBladeT1CandyKnife,,,,,"Конфетный нож"
meleeWpnBladeT1CandyKnifeDesc,,,,,"Поразите врагов в праздничном настроении!"
meleeWpnBladeT3Machete,,,,,"Мачете"
meleeWpnBladeT3MacheteDesc,,,,,"Отлично подойдёт для рубки зомби и иногда деревьев или разделки животных на мясо.\nОбычные атаки могут вызвать 1 кровоточащую рану, а мощные — минимум 2"
meleeWpnClubT0WoodenClub,,,,,"Деревянная дубина"
meleeWpnClubT0WoodenClubDesc,,,,,"Примитивное дробящее оружие, хорошее для перелома колен и черепов."
meleeWpnClubT1BaseballBat,,,,,"Бейсбольная бита"
meleeWpnClubT1BaseballBatDesc,,,,,"Среднее дробящее оружие для перелома колен и черепов"
meleeWpnClubT1BaseballBatSchematic,,,,,"Бейсбольная бита"
meleeWpnClubT1CandyClub,,,,,"Конфетная дубина"
meleeWpnClubT1CandyClubDesc,,,,,"Победите врагов в праздничном настроении!"
